site,BAI
MC-029,0.1749681580858068
MC-011,-0.09368713320649796
MC-005,0.1681934157817233
MC-024,-0.09512769891121092
MC-030,0.19708269314676108
MC-022,0.20761223928720168
MC-036,0.27891077814434684
MC-017,-0.2588284828291211
MC-003,-0.24609090037184667
MC-009,-0.24371625255992502
MC-028,-0.030969400642590517
MC-004,-0.19821968436738202
MC-010,0.33062664973345407
MC-031,-0.19717448183691988
MC-025,0.143777360584536
MC-040,0.18411884231173964
MC-037,0.23074090953587084
MC-023,-0.0665881759066228
MC-002,-0.28318844178278
MC-016,-0.02385569421496797
MC-026,-0.2095700165270098
MC-032,-0.15235223162612943
MC-013,-0.23519052310362398
MC-007,0.25799106756974377
MC-018,0.20716745962752087
MC-039,-0.1118287812373795
MC-015,-0.09099416210419187
MC-001,0.2345474684641246
MC-020,-0.17689334912226562
MC-034,0.19966744804150927
MC-027,0.2860453478862486
MC-006,-0.21437548183627275
MC-012,-0.1489767679404259
MC-019,-0.04224484531260331
MC-038,0.19849628362071126
MC-014,0.1024969352206645
MC-035,0.20567720544487322
MC-021,0.14918695483039984
