deploymentID,BAI
MC-029,0.23876901606437717
MC-011,-0.31123764805103804
MC-005,0.36683410621823775
MC-024,-0.2828362993370389
MC-030,0.3958459061001134
MC-022,0.46824278599986013
MC-036,0.5721983926529309
MC-017,-0.5587856154445993
MC-003,-0.5563913084366087
MC-009,-0.59881247046607
MC-028,-0.0458953662009961
MC-004,-0.33411173924464266
MC-010,0.6080371144880607
MC-031,-0.35343085143208763
MC-025,0.2982636373732198
MC-040,0.4938891189105674
MC-037,0.43163112746115206
MC-023,-0.1688137295802684
MC-002,-0.5474969695172246
MC-016,-0.1049933269480875
MC-026,-0.4017885101517523
MC-032,-0.31036474594782437
MC-013,-0.5486169935156517
MC-007,0.5109942164209219
MC-018,0.3838168605943463
MC-039,-0.3060758441005823
MC-015,-0.07002244474913566
MC-001,0.42181289310284587
MC-020,-0.46128858302310183
MC-034,0.4332923984456718
MC-027,0.5394565432030041
MC-006,-0.3475686291520106
MC-012,-0.3262183596160422
MC-019,0.10679987604390861
MC-038,0.33682702536940634
MC-014,0.15728995951560476
MC-035,0.38190953167212893
MC-021,0.3016699935918552
